SKU,Category,New.Category,EDC.Available
10532788,A,A,1
10526137,A,A,0
10403154,A,A,1
10147252,A,A,1
10395450,A,A,1
10463052,A,A,1
10185919,A,A,1
10536726,A,A,1
10545251,A,A,1
10063436,A,A,1
10500992,A,A,1
10472541,A,A,1
10133610,A,A,1
10532382,A,A,1
10014393,A,A,1
10026598,A,A,1
10545250,A,A,1
10245660,A,A,1
10556691,A,A,1
10047540,A,A,1
10200544,A,A,1
10382886,A,A,1
10505252,A,A,1
10429387,A,A,1
10318239,A,A,1
10301549,A,A,1
10274257,A,A,1
10463051,A,A,1
10532689,A,A,1
10258490,A,A,1
10169284,A,A,1
10208732,A,A,1
10091778,A,A,1
10594228,A,A,1
10406404,A,A,1
10014433,A,A,1
10350887,A,A,1
10564027,A,A,1
10622321,A,A,1
10477589,A,A,1
10594232,A,A,1
10503917,A,A,1
10371134,A,A,1
10258504,A,A,1
10620518,A,A,1
10500997,A,A,1
10002295,A,A,1
10403388,A,A,1
10270878,A,A,1
10469296,A,A,1
10232773,A,A,1
10403150,A,A,1
10139619,A,A,1
10460348,A,A,1
10546706,A,A,1
10347897,A,A,1
10204731,A,A,1
10177956,A,A,1
10445007,A,A,1
10176962,A,A,1
10395714,A,A,1
10065073,A,A,0
10095679,A,A,1
10212674,A,A,1
10375444,A,A,1
10432211,A,A,1
10506695,A,A,0
10409511,A,A,1
10545245,A,A,1
10110631,A,A,0
10251015,A,A,1
10359886,A,A,1
10040605,A,A,1
10347032,A,A,1
10388588,A,A,1
10396596,A,A,0
10266690,A,A,1
10065109,A,A,0
10121258,A,A,1
10187492,A,A,1
10102528,A,A,1
10136771,A,A,1
10477488,A,A,1
10189256,A,A,0
10182585,A,A,1
10395838,A,A,1
10193906,A,A,1
10108688,A,A,1
10147423,A,A,1
10129347,A,A,1
10414817,A,A,1
10573603,A,A,1
10602108,A,A,1
10288086,A,A,1
10221523,A,A,1
10121777,A,A,1
10270879,A,A,1
10135036,A,A,1
10206545,A,A,0
10267430,A,A,1
10409409,A,A,1
10408983,A,A,1
10507366,A,A,1
10114574,A,A,1
10353854,A,A,1
10620799,A,A,1
10459610,A,A,1
10308372,A,A,1
10146558,A,A,1
10176747,A,A,1
10471203,A,A,1
10029729,A,A,1
10133644,A,A,1
10196946,A,A,1
10114031,A,A,1
10367778,A,A,1
10177925,A,A,1
10196407,A,A,1
10456100,A,A,1
10242167,A,A,1
10050090,A,A,1
10226534,A,A,1
10188793,A,A,1
10302775,A,A,1
10279069,A,A,1
10622317,A,A,1
10162171,A,A,1
10234974,A,A,1
10482412,A,A,1
10382824,A,A,1
10265239,A,A,1
10320214,A,A,1
10148549,A,A,1
10546736,A,A,1
10185254,A,A,1
10547486,A,A,1
10527005,A,A,1
10122861,A,A,0
10672204,A,A,1
10408982,A,A,1
10529206,A,A,1
10377346,A,A,1
10382784,A,A,1
10315140,A,A,1
10192889,A,A,1
10400965,A,A,1
10672006,A,A,1
10267586,A,A,1
10103223,A,A,1
10358431,A,A,1
10507361,A,A,1
10234976,A,A,1
10361838,A,A,1
10118042,A,A,1
10324519,A,A,1
