,month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State,Cluster,Cust_State
341,1,H1S,A,89.1552,8,2,CA,H,0.0,H
342,1,H1W,Non-A,13.0682,2,1,CA,H,0.0,H
343,1,H2C,A,57.6647,3,1,CA,H,0.0,H
344,1,H2J,A,0.0,3,1,CA,H,0.0,H
345,1,H2J,Non-A,21.1983,1,1,CA,H,0.0,H
346,1,H2K,A,45.9194,9,2,CA,H,0.0,H
347,1,H2R,A,46.942,11,3,CA,H,0.0,H
348,1,H2R,Non-A,55.2878,14,3,CA,H,0.0,H
349,1,H2R,Seasonal,0.0,2,1,CA,H,0.0,H
350,1,H2S,A,37.6432,6,1,CA,H,0.0,H
351,1,H2T,A,48.4544,20,3,CA,H,0.0,H
352,1,H2T,Non-A,26.8824,1,1,CA,H,0.0,H
353,1,H2X,A,59.203,3,1,CA,H,0.0,H
354,1,H3A,A,86.1317,7,1,CA,H,0.0,H
355,1,H3A,Non-A,0.0,3,1,CA,H,0.0,H
356,1,H3E,A,54.1632,6,1,CA,H,0.0,H
357,1,H3G,A,35.497,2,1,CA,H,0.0,H
358,1,H3G,Non-A,0.0,3,1,CA,H,0.0,H
359,1,H3H,A,10.3448,1,1,CA,H,0.0,H
360,1,H3K,A,43.1271,13,1,CA,H,0.0,H
361,1,H3L,Non-A,18.4139,6,1,CA,H,0.0,H
362,1,H3M,Non-A,75.8786,6,1,CA,H,0.0,H
363,1,H3N,A,35.82,5,1,CA,H,0.0,H
364,1,H3N,Non-A,0.0,3,1,CA,H,0.0,H
365,1,H3S,A,46.7883,5,2,CA,H,0.0,H
366,1,H3S,Non-A,0.0,2,1,CA,H,0.0,H
367,1,H3T,A,72.4095,12,2,CA,H,0.0,H
368,1,H3T,Non-A,0.0,4,1,CA,H,0.0,H
369,1,H3T,Seasonal,0.0,2,1,CA,H,0.0,H
370,1,H3W,Non-A,92.6001,19,1,CA,H,0.0,H
371,1,H3X,A,7.3686,2,1,CA,H,0.0,H
372,1,H3Z,A,23.7978,21,2,CA,H,0.0,H
373,1,H3Z,Non-A,149.5034,9,2,CA,H,0.0,H
374,1,H3Z,Seasonal,0.0,2,1,CA,H,0.0,H
375,1,H4A,A,121.5137,2,1,CA,H,0.0,H
376,1,H4C,A,49.9807,2,2,CA,H,0.0,H
377,1,H4E,Non-A,55.3495,4,1,CA,H,0.0,H
378,1,H4G,A,52.2651,5,2,CA,H,0.0,H
379,1,H4H,A,0.0,3,1,CA,H,0.0,H
380,1,H4H,Non-A,49.8811,4,2,CA,H,0.0,H
381,1,H4J,A,26.8825,5,1,CA,H,0.0,H
382,1,H4K,Non-A,27.6594,6,1,CA,H,0.0,H
383,1,H4M,A,0.0,33,2,CA,H,0.0,H
384,1,H4M,Non-A,355.8255,16,2,CA,H,0.0,H
385,1,H4N,A,40.5506,3,1,CA,H,0.0,H
386,1,H4P,Non-A,18.5523,3,1,CA,H,0.0,H
387,1,H4W,A,333.0434,101,3,CA,H,0.0,H
388,1,H7G,A,8.4224,5,1,CA,H,0.0,H
389,1,H7G,Non-A,18.4447,2,1,CA,H,0.0,H
390,1,H7H,A,26.0591,1,1,CA,H,0.0,H
